EPOCH=001,Accuracy= 67.778%
EPOCH=002,Accuracy= 73.571%
EPOCH=003,Accuracy= 75.794%
EPOCH=004,Accuracy= 75.873%
EPOCH=005,Accuracy= 81.032%
EPOCH=006,Accuracy= 79.524%
EPOCH=007,Accuracy= 68.651%
EPOCH=008,Accuracy= 80.238%
EPOCH=009,Accuracy= 77.222%
EPOCH=010,Accuracy= 80.556%
EPOCH=011,Accuracy= 79.444%
EPOCH=012,Accuracy= 77.063%
EPOCH=013,Accuracy= 80.397%
EPOCH=014,Accuracy= 78.016%
EPOCH=015,Accuracy= 77.540%
EPOCH=016,Accuracy= 76.905%
EPOCH=017,Accuracy= 77.540%
EPOCH=018,Accuracy= 76.984%
EPOCH=019,Accuracy= 80.873%
EPOCH=020,Accuracy= 76.746%
EPOCH=021,Accuracy= 74.127%
EPOCH=022,Accuracy= 73.254%
EPOCH=023,Accuracy= 81.746%
EPOCH=024,Accuracy= 78.968%
EPOCH=025,Accuracy= 80.952%
EPOCH=026,Accuracy= 81.429%
EPOCH=027,Accuracy= 78.333%
