001  00001 |Loss: 1.065 | Acc: 46.875% 
001  00002 |Loss: 3.270 | Acc: 42.188% 
001  00003 |Loss: 5.885 | Acc: 40.625% 
001  00004 |Loss: 5.705 | Acc: 38.281% 
001  00005 |Loss: 5.172 | Acc: 38.750% 
001  00006 |Loss: 5.325 | Acc: 36.979% 
001  00007 |Loss: 4.900 | Acc: 39.286% 
001  00008 |Loss: 5.211 | Acc: 37.500% 
001  00009 |Loss: 4.964 | Acc: 38.889% 
001  00010 |Loss: 5.468 | Acc: 38.750% 
001  00011 |Loss: 5.088 | Acc: 40.341% 
001  00012 |Loss: 4.894 | Acc: 40.365% 
001  00013 |Loss: 4.832 | Acc: 39.183% 
001  00014 |Loss: 4.731 | Acc: 38.170% 
001  00015 |Loss: 4.480 | Acc: 38.750% 
001  00016 |Loss: 4.347 | Acc: 39.453% 
001  00017 |Loss: 4.189 | Acc: 40.993% 
001  00018 |Loss: 4.048 | Acc: 41.319% 
001  00019 |Loss: 3.954 | Acc: 40.625% 
001  00020 |Loss: 3.844 | Acc: 41.562% 
001  00021 |Loss: 3.770 | Acc: 41.518% 
001  00022 |Loss: 3.697 | Acc: 41.477% 
001  00023 |Loss: 3.630 | Acc: 41.304% 
001  00024 |Loss: 3.569 | Acc: 41.536% 
001  00025 |Loss: 3.499 | Acc: 41.875% 
001  00026 |Loss: 3.439 | Acc: 42.067% 
001  00027 |Loss: 3.375 | Acc: 42.824% 
001  00028 |Loss: 3.392 | Acc: 42.522% 
001  00029 |Loss: 3.299 | Acc: 43.534% 
001  00030 |Loss: 3.257 | Acc: 43.750% 
001  00031 |Loss: 3.173 | Acc: 44.657% 
001  00032 |Loss: 3.115 | Acc: 45.215% 
001  00033 |Loss: 3.062 | Acc: 45.833% 
001  00034 |Loss: 3.063 | Acc: 46.140% 
001  00035 |Loss: 3.050 | Acc: 46.071% 
001  00036 |Loss: 2.992 | Acc: 46.615% 
001  00037 |Loss: 3.006 | Acc: 46.453% 
001  00038 |Loss: 2.969 | Acc: 46.464% 
001  00039 |Loss: 3.008 | Acc: 46.234% 
001  00040 |Loss: 3.062 | Acc: 46.172% 
001  00041 |Loss: 3.075 | Acc: 46.113% 
001  00042 |Loss: 3.048 | Acc: 45.685% 
001  00043 |Loss: 3.020 | Acc: 45.567% 
001  00044 |Loss: 3.000 | Acc: 45.241% 
001  00045 |Loss: 2.994 | Acc: 45.347% 
001  00046 |Loss: 2.948 | Acc: 45.448% 
001  00047 |Loss: 2.981 | Acc: 45.612% 
001  00048 |Loss: 2.935 | Acc: 46.094% 
001  00049 |Loss: 2.893 | Acc: 46.110% 
001  00050 |Loss: 2.856 | Acc: 46.000% 
001  00051 |Loss: 2.817 | Acc: 46.446% 
001  00052 |Loss: 2.791 | Acc: 46.635% 
001  00053 |Loss: 2.757 | Acc: 46.757% 
001  00054 |Loss: 2.826 | Acc: 46.701% 
001  00055 |Loss: 2.790 | Acc: 46.989% 
001  00056 |Loss: 2.762 | Acc: 47.210% 
